student_id,name,gender,age,department,level,cgpa,attendance_rate,assignments_submitted,library_usage_per_week,internet_hours_per_week,graduation_status
S100000,Student_0,Male,19,Medicine,100,4.15,42.9,18,1,7.82,Graduated
S100001,Student_1,Female,24,Engineering,200,3.15,42.19,17,6,0.0,Graduated
S100002,Student_2,Male,23,Engineering,400,3.09,43.87,17,2,9.64,Graduated
S100003,Student_3,Male,19,Law,100,2.94,80.36,11,6,3.6,Graduated
S100004,Student_4,Male,22,Engineering,200,2.73,64.42,13,4,8.69,Graduated
S100005,Student_5,Female,20,Education,400,3.4,69.65,8,0,11.84,In Progress
S100006,Student_6,Male,27,Medicine,100,3.69,60.6,9,6,6.71,Graduated
S100007,Student_7,Male,21,Law,500,2.19,55.22,19,1,1.41,Graduated
S100008,Student_8,Male,27,Computer Science,500,3.73,61.5,13,5,4.97,Dropped
S100009,Student_9,Female,21,Computer Science,400,4.14,51.6,13,7,16.49,Graduated
S100010,Student_10,Male,23,Medicine,100,2.29,80.73,6,6,10.95,Graduated
S100011,Student_11,Male,27,Computer Science,200,3.64,46.1,16,6,14.29,In Progress
S100012,Student_12,Male,21,Education,200,4.14,71.01,15,1,18.32,Graduated
S100013,Student_13,Male,27,Engineering,100,3.5,68.61,18,2,20.31,In Progress
S100014,Student_14,Female,19,Medicine,500,2.88,58.12,19,3,11.06,In Progress
S100015,Student_15,Male,26,Law,100,3.55,46.14,5,5,8.59,Graduated
S100016,Student_16,Female,21,Engineering,500,2.43,82.2,7,1,6.87,Graduated
S100017,Student_17,Female,23,Computer Science,500,2.78,74.17,14,4,10.51,Dropped
S100018,Student_18,Female,21,Computer Science,200,2.49,88.57,5,7,12.31,Graduated
S100019,Student_19,Male,21,Law,400,2.06,54.13,10,4,13.52,In Progress
S100020,Student_20,Female,25,Education,300,3.03,87.49,12,3,4.92,In Progress
S100021,Student_21,Male,19,Law,100,3.21,57.52,8,4,4.99,Graduated
S100022,Student_22,Female,29,Medicine,500,3.46,46.76,20,2,8.79,Graduated
S100023,Student_23,Female,22,Law,100,0.0,48.09,15,1,10.01,Graduated
S100024,Student_24,Female,17,Computer Science,400,3.13,53.26,8,2,18.08,Graduated
S100025,Student_25,Female,26,Education,400,3.06,80.95,15,6,0.0,Graduated
S100026,Student_26,Female,21,Education,300,2.24,54.64,19,7,6.96,Graduated
S100027,Student_27,Female,24,Business Admin,300,2.69,76.23,14,3,14.23,Graduated
S100028,Student_28,Female,21,Law,500,3.53,55.39,5,3,4.99,Graduated
S100029,Student_29,Female,25,Medicine,300,3.07,61.91,13,2,9.89,Graduated
S100030,Student_30,Male,27,Computer Science,500,2.99,93.38,14,5,14.8,Graduated
S100031,Student_31,Male,22,Engineering,200,3.63,70.02,12,0,13.31,Graduated
S100032,Student_32,Female,24,Education,500,4.62,76.02,18,3,13.41,Graduated
S100033,Student_33,Female,26,Law,300,2.83,51.36,18,1,8.99,Dropped
S100034,Student_34,Female,24,Business Admin,100,3.17,47.89,17,5,10.61,Dropped
S100035,Student_35,Male,29,Medicine,300,2.38,64.79,7,3,10.83,Graduated
S100036,Student_36,Female,19,Medicine,400,4.5,91.32,18,2,7.34,Graduated
S100037,Student_37,Male,23,Computer Science,300,2.62,54.46,18,2,14.17,In Progress
S100038,Student_38,Male,30,Education,200,1.73,77.3,7,4,3.47,In Progress
S100039,Student_39,Male,23,Computer Science,500,3.44,92.33,17,5,6.66,In Progress
S100040,Student_40,Male,30,Business Admin,400,1.87,96.06,20,0,14.2,Graduated
S100041,Student_41,Male,26,Engineering,500,3.91,99.63,14,2,0.13,Graduated
S100042,Student_42,Female,28,Engineering,500,3.41,85.78,8,6,10.71,Graduated
S100043,Student_43,Female,22,Engineering,300,2.28,44.5,8,4,15.51,Graduated
S100044,Student_44,Female,28,Medicine,100,3.47,92.29,6,4,6.18,Graduated
S100045,Student_45,Female,23,Education,400,2.77,93.14,8,1,12.07,Graduated
S100046,Student_46,Female,30,Computer Science,200,3.3,73.44,6,4,10.62,In Progress
